timestamp,mem_total,mem_free,mem_available,swap_total,swap_free,pgfault,pgmajfault,slab_unreclaim,cpu_usage,load_avg_1m,load_avg_5m,load_avg_15m,context_switches,disk_read,disk_write,net_recv_rate,net_sent_rate
2025-05-30 22:35:33,4056416256,1817042944,2640203776,2243948544,2243948544,31901628,4627,0,7.1,0.14794921875,0.2001953125,0.1044921875,1629349,1426868224,1474171904,0,0
2025-05-30 22:35:39,4056416256,1816309760,2639683584,2243948544,2243948544,31903997,4629,0,52.0,0.1357421875,0.19677734375,0.103515625,1632833,1428219904,1474679808,0,0
2025-05-30 22:35:45,4056416256,1815805952,2640592896,2243948544,2243948544,31904102,4629,0,100.0,0.205078125,0.21044921875,0.1083984375,1638465,1428219904,1474798592,0,0
2025-05-30 22:35:51,4056416256,1815560192,2640404480,2243948544,2243948544,31904203,4629,0,2.0,0.32080078125,0.23583984375,0.11767578125,1642705,1428219904,1474819072,0,0
2025-05-30 22:35:57,4056416256,1815560192,2640412672,2243948544,2243948544,31904321,4629,0,4.0,0.294921875,0.2314453125,0.11669921875,1644860,1428219904,1474835456,140,138
2025-05-30 22:36:03,4056416256,1815560192,2640412672,2243948544,2243948544,31904500,4629,0,58.3,0.3515625,0.24462890625,0.12158203125,1648092,1428219904,1474851840,9,107
2025-05-30 22:36:09,4056416256,1815085056,2640035840,2243948544,2243948544,31904603,4629,0,22.2,0.3232421875,0.240234375,0.12060546875,1651659,1428219904,1474868224,0,81
2025-05-30 22:36:15,4056416256,1814839296,2639863808,2243948544,2243948544,31904688,4629,0,49.5,0.45751953125,0.26953125,0.130859375,1657349,1428219904,1475032064,0,97
2025-05-30 22:36:21,4056416256,1813938176,2639003648,2243948544,2243948544,31904819,4629,0,14.3,0.38671875,0.26025390625,0.12890625,1660290,1428219904,1475060736,0,97
2025-05-30 22:36:27,4056416256,1813938176,2639003648,2243948544,2243948544,31904820,4629,0,1.0,0.35546875,0.255859375,0.1279296875,1660978,1428219904,1475077120,0,97
2025-05-30 22:36:33,4056416256,1813938176,2639003648,2243948544,2243948544,31904821,4629,0,0.0,0.32666015625,0.25146484375,0.126953125,1661581,1428219904,1475093504,0,97
2025-05-30 22:36:39,4056416256,1813938176,2639020032,2243948544,2243948544,31904821,4629,0,1.0,0.30029296875,0.2470703125,0.1259765625,1662142,1428219904,1475109888,0,32
2025-05-30 22:36:45,4056416256,1813938176,2639024128,2243948544,2243948544,31904823,4629,0,2.0,0.27587890625,0.24267578125,0.125,1662806,1428219904,1475126272,316,0
2025-05-30 22:36:51,4056416256,2479132672,2613506048,2243948544,2243948544,31906400,4632,0,1.0,0.23291015625,0.23388671875,0.123046875,1664124,1429485568,1475322880,152,0
2025-05-30 22:36:57,4056416256,2478661632,2613964800,2243948544,2243948544,31906400,4632,0,0.0,0.2138671875,0.22998046875,0.1220703125,1664775,1430398976,1475544064,0,0
2025-05-30 22:37:03,4056416256,1726681088,1862553600,2243948544,2243948544,32100963,4632,0,1.0,0.1962890625,0.22607421875,0.12109375,1665425,1430964224,1475568640,0,0
2025-05-30 22:37:09,4056416256,2288787456,2424668160,2243948544,2243948544,32100964,4632,0,0.0,0.18017578125,0.22216796875,0.1201171875,1666064,1430964224,1475609600,258,0
2025-05-30 22:37:15,4056416256,2384740352,2519212032,2243948544,2243948544,32102545,4676,0,1.0,0.16552734375,0.21826171875,0.119140625,1667305,1435269120,1475777536,0,0
2025-05-30 22:37:21,4056416256,2440421376,2575695872,2243948544,2243948544,32102869,4680,0,63.0,0.22021484375,0.2275390625,0.123046875,1668077,1436645376,1476002816,0,0
2025-05-30 22:37:27,4056416256,1806790656,2643296256,2243948544,2243948544,32102884,4683,0,1.0,0.2021484375,0.2236328125,0.1220703125,1669792,1437333504,2167292928,0,0
2025-05-30 22:37:33,4056416256,1072128000,1908641792,2243948544,2243948544,32282341,4683,0,0.0,0.26611328125,0.23681640625,0.126953125,1670383,1437333504,2167354368,0,0
2025-05-30 22:37:39,4056416256,1612001280,2448515072,2243948544,2243948544,32282344,4683,0,2.0,0.24462890625,0.232421875,0.1259765625,1671017,1437333504,2167415808,82,26
2025-05-30 22:37:45,4056416256,1661071360,2497609728,2243948544,2243948544,32282825,4683,0,0.0,0.224609375,0.228515625,0.125,1671631,1437337600,2167456768,0,0
2025-05-30 22:37:51,4056416256,1710616576,2547167232,2243948544,2243948544,32282825,4683,0,1.0,0.18994140625,0.220703125,0.123046875,1672199,1437341696,2167510016,0,0
2025-05-30 22:37:57,4056416256,1754152960,2591064064,2243948544,2243948544,32311433,4683,0,59.8,0.2548828125,0.23388671875,0.1279296875,1676457,1437612032,2167710720,0,0
2025-05-30 22:38:03,4056416256,1753894912,2591174656,2243948544,2243948544,32311436,4683,0,0.0,0.234375,0.22998046875,0.126953125,1678504,1438029824,2167731200,0,0
2025-05-30 22:38:09,4056416256,1632043008,2645807104,2243948544,2243948544,32311777,4683,0,63.8,0.2958984375,0.2431640625,0.1318359375,1681006,1438054400,3133637632,121,0
2025-05-30 22:38:15,4056416256,1517010944,2632888320,2243948544,2243948544,32311782,4683,0,0.0,0.27197265625,0.23876953125,0.130859375,1681608,1438054400,3133813760,137,0
2025-05-30 22:38:21,4056416256,1516752896,2632744960,2243948544,2243948544,32311873,4685,0,100.0,0.31005859375,0.24755859375,0.134765625,1682210,1438160896,3133903872,0,0
2025-05-30 22:38:27,4056416256,1516752896,2632744960,2243948544,2243948544,32311873,4685,0,100.0,0.36572265625,0.26025390625,0.1396484375,1682764,1438160896,3133920256,0,0
